licencia_id,origen,municipio,direccion_consultada,lat,lon,etiqueta_icgc,geocodificado,en_ciudad,municipio_poligono,municipio_coincide
HB-003669,hotel_at,Barcelona,"Carrer Avinyó 37, Barcelona",41.38031411,2.17915522,,True,True,Barcelona,True
HB-003673,hotel_at,Barcelona,"Carrer Béjar 36, Barcelona",41.37705203,2.14556239,,True,True,Barcelona,True
HB-003693,hotel_at,Barcelona,"Carrer Sant Ramon 15, Barcelona",41.37782083,2.1718912,,True,True,Barcelona,True
HB-003356,hotel_at,Barcelona,"Carrer de Villarroel 47, Barcelona",41.38246492,2.16021696,,True,True,Barcelona,True
HB-003726,hotel_at,Barcelona,"Carrer Avinyó 58, Barcelona",41.38019022,2.17929159,,True,True,Barcelona,True
HB-003336,hotel_at,Barcelona,"Carrer Sant Pau 15, Barcelona",41.37963379,2.17261791,,True,True,Barcelona,True
HB-003748,hotel_at,Barcelona,"Baixada Sant Miquel 1, Barcelona",41.38140374,2.17652833,,True,True,Barcelona,True
HB-003766,hotel_at,Barcelona,"Carrer Madrazo 103, Barcelona",41.3982616,2.14654964,,True,True,Barcelona,True
HB-003777,hotel_at,Barcelona,"Carrer de Fontcoberta 4, Barcelona",41.39477739,2.12451106,,True,True,Barcelona,True
HB-003781,hotel_at,Barcelona,"Carrer Avinyó 42, Barcelona",41.38049051,2.17834896,,True,True,Barcelona,True
HB-003292,hotel_at,Barcelona,"Carrer Ample 7, Barcelona",41.37898963,2.17891049,,True,True,Barcelona,True
HB-003943,hotel_at,Barcelona,"Carrer Mallorca 537, Barcelona",41.40941181,2.18313848,,True,True,Barcelona,True
HB-003827,hotel_at,Barcelona,"Carrer dels Tallers 6, Barcelona",41.38475182,2.16976504,,True,True,Barcelona,True
HB-003250,hotel_at,Barcelona,"Carrer Palau 4, Barcelona",41.38121646,2.17790151,,True,True,Barcelona,True
HB-003841,hotel_at,Barcelona,"Carrer Sant Vicenç 39, Barcelona",41.38221885,2.16414698,,True,True,Barcelona,True
HUTB-012109,vut,Barcelona,"Carrer Ramon Rocafull 75, Barcelona",41.42241841,2.15457006,,True,True,Barcelona,True
HB-003871,hotel_at,Barcelona,"Carrer Laforja 98, Barcelona",41.39650194,2.14528281,,True,True,Barcelona,True
HB-003872,hotel_at,Barcelona,"Carrer Bèjar 37, Barcelona",41.37701811,2.14541505,,True,True,Barcelona,True
HB-003875,hotel_at,Barcelona,"Carrer de la França Xica 40, Barcelona",41.37222673,2.157411,,True,True,Barcelona,True
HB-003147,hotel_at,Barcelona,"Ronda Sant Pere 53, Barcelona",41.39151227,2.17914274,,True,True,Barcelona,True
HB-003889,hotel_at,Barcelona,"Carrer Dènia 34, Barcelona",41.39901992,2.14818825,,True,True,Barcelona,True
HB-003894,hotel_at,Barcelona,"Carrer Paloma 24, Barcelona",41.38197812,2.16420298,,True,True,Barcelona,True
HB-003116,hotel_at,Barcelona,"Via Laietana 23, Barcelona",41.38376272,2.17881444,,True,True,Barcelona,True
HB-003078,hotel_at,Barcelona,"Carrer Lafont 1, Barcelona",41.37380146,2.16942541,,True,True,Barcelona,True
