licencia_id,origen,municipio,direccion_consultada,lat,lon,etiqueta_icgc,geocodificado,en_ciudad
HUTB-008536,vut,Sant Pol de Mar,"Carrer Carrasco Azemar 4, Sant Pol de Mar",41.60872481,2.6236277,,True,False
HUTB-008552,vut,Sant Pol de Mar,"Carrer Ramon Planiol Claramunt 4 A, Sant Pol de Mar",41.60217151,2.62380432,,True,False
HUTB-008538,vut,Castelldefels,"Passeig Marítim 326, Castelldefels",41.26536406,1.9564737,,True,False
HUTB-008539,vut,Torrelles de Foix,"Barri Les Llombardes s/n, Torrelles de Foix",,,,False,False
HUTB-008540,vut,Cabrils,"Camí Punta 11, Cabrils",,,,False,False
HUTB-008542,vut,Calella,"Carrer Maria Cardona 5, Calella",41.61483875,2.65345796,,True,False
HUTB-008544,vut,Sant Iscle de Vallalta,"Urbanització Can Ginebre 29, Sant Iscle de Vallalta",41.62333234,2.58076824,,True,False
HUTB-008545,vut,Castelldefels,"Passeig Marítim 167, Castelldefels",41.26546171,1.97697076,,True,False
HUTB-008546,vut,Sant Pol de Mar,"Avinguda EL FARELL 6, Sant Pol de Mar",41.59902954,2.60291234,,True,False
HUTB-008547,vut,Sant Pol de Mar,"Carrer Mediterrani 10, Sant Pol de Mar",41.60691428,2.62733294,,True,False
HUTB-008548,vut,Sant Pol de Mar,"Carrer Montnegre 3, Sant Pol de Mar",41.60918805,2.62756471,,True,False
HUTB-008549,vut,Sant Pol de Mar,"Avinguda Doctor Furest 28, Sant Pol de Mar",41.60228455,2.62824517,,True,False
HUTB-008550,vut,Sant Pol de Mar,"Avinguda Doctor Furest 28, Sant Pol de Mar",41.60228455,2.62824517,,True,False
HUTB-008553,vut,Canet de Mar,"Carrer Mar 51, Canet de Mar",41.58617902,2.57945311,,True,False
HUTB-008681,vut,Pineda de Mar,"Carrer Benavente 66, Pineda de Mar",41.62759089,2.66974431,,True,False
HUTB-008564,vut,Torrelles de Llobregat,"Carrer Tretze 29, Torrelles de Llobregat",,,,False,False
HUTB-008579,vut,"Garriga, la","Carrer Padró 12, Garriga, la",41.68325555,2.2917291,,True,False
HUTB-008580,vut,Sant Cebrià de Vallalta,"Camí Pedracastell 12, Sant Cebrià de Vallalta",41.61206262,2.59696144,,True,False
HUTB-008647,vut,Palafolls,"Avinguda Arbres 75, Palafolls",41.6618102,2.70533972,,True,False
HUTB-008648,vut,Caldes d'Estrac,"Carrer Torrevella 19, Caldes d'Estrac",41.57285723,2.52022345,,True,False
HUTB-008649,vut,Caldes d'Estrac,"Carrer Esglèsia 35, Caldes d'Estrac",41.5720815,2.52741912,,True,False
HUTB-008673,vut,Pineda de Mar,"Carrer Canet 31, Pineda de Mar",41.63828388,2.66227521,,True,False
HUTB-008676,vut,Pineda de Mar,"Carrer Garbí 131, Pineda de Mar",41.6226571,2.67349983,,True,False
HUTB-008677,vut,Pineda de Mar,"Carrer Narcís Monturiol 106, Pineda de Mar",41.62023745,2.68030907,,True,False
HUTB-008678,vut,Pineda de Mar,"Carrer Marc Chagall 8, Pineda de Mar",41.63337945,2.69522335,,True,False
HUTB-008680,vut,Pineda de Mar,"Carrer Millet 32, Pineda de Mar",41.63517636,2.69357094,,True,False
HUTB-008310,vut,Sitges,"Passeig Vilanova 57, Sitges",41.23727835,1.80412214,,True,False
HUTB-008308,vut,Sitges,"Carrer Antonio Gaudí 13, Sitges",41.23727009,1.80612621,,True,False
HUTB-007721,vut,Pineda de Mar,"Carrer Progres 32, Pineda de Mar",41.62456056,2.69431348,,True,False
HUTB-008307,vut,Sitges,"Carrer Morisca 10, Sitges",41.25529322,1.90198303,,True,False
HUTB-007907,vut,Sitges,"Carrer Bosch 22, Sitges",41.23551806,1.81169802,,True,False
HUTB-007908,vut,Sitges,"Carrer Bosch 22, Sitges",41.23551806,1.81169802,,True,False
HUTB-007909,vut,Sitges,"Carrer Joan Maragall 28, Sitges",41.23714359,1.81479858,,True,False
HUTB-007910,vut,Sitges,"Carrer LG Punta Gavina 2, Sitges",,,,False,False
HUTB-007911,vut,Sitges,"Carrer Nou 4, Sitges",41.23546201,1.81101102,,True,False
HUTB-007912,vut,Sitges,"Avinguda NOSTRA SENYORA DEL VINYET 3, Sitges",41.23459432,1.80337142,,True,False
HUTB-007913,vut,Sitges,"Carrer Parellades 2, Sitges",41.23654271,1.80928465,,True,False
HUTB-007914,vut,Sitges,"Passeig Ribera 16, Sitges",41.23507749,1.80950832,,True,False
HUTB-007915,vut,Sitges,"Passeig Vilanova 38, Sitges",41.23771553,1.80340653,,True,False
HUTB-007916,vut,Sitges,"Carrer Nansa 8, Sitges",41.23515379,1.82471002,,True,False
HUTB-007917,vut,Sitges,"Carrer Garraf 20, Sitges",41.23683192,1.81617664,,True,False
HUTB-007918,vut,Sitges,"Plaça Espanya 5, Sitges",,,,False,False
HUTB-007919,vut,Sitges,"Carrer Espalter 16, Sitges",41.23727835,1.8066245,,True,False
HUTB-007921,vut,Sitges,"Carrer Tacó 19, Sitges",41.23515584,1.81040397,,True,False
HUTB-007922,vut,Sitges,"Carrer Cellerot 5, Sitges",41.22589652,1.78531389,,True,False
HUTB-007923,vut,Sitges,"Carrer Sant Pere 30, Sitges",41.23531433,1.80865837,,True,False
HUTB-007925,vut,Sitges,"Passatge Sant Muç 18, Sitges",41.23559172,1.80454779,,True,False
HUTB-007926,vut,Sitges,"Passeig Vilanova 38, Sitges",41.23771553,1.80340653,,True,False
HUTB-007927,vut,Sitges,"Carrer Sant Bonaventura 10, Sitges",41.23741857,1.80757876,,True,False
HUTB-007928,vut,Sitges,"Carrer Sant Bonaventura 10, Sitges",41.23741857,1.80757876,,True,False
HUTB-007929,vut,Sitges,"Carrer de l Illa de Cuba 9, Sitges",41.23742066,1.80987634,,True,False
HUTB-007930,vut,Sant Pol de Mar,"Avinguda Farell 21, Sant Pol de Mar",41.60024053,2.60226544,,True,False
HUTB-007931,vut,Sant Andreu de Llavaneres,"Passeig Marítim 34, Sant Andreu de Llavaneres",41.55326269,2.49485941,,True,False
