DATA_EXPLO,OCUPACIO,CODI_DISTRICTE,NOM_DISTRICTE,CODI_BARRI,NOM_BARRI,EMPLACAMENT,SUPERFICIE_OCUPADA,TAULES,CADIRES,TAULES_VORERA,CADIRES_VORERA,TAULES_CALCADA,CADIRES_CALCADA,ORDENACIO,VIGENCIA,X_ETRS89,Y_ETRS89,LATITUD,LONGITUD
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,8,l'Antiga Esquerra de l'Eixample,"C. LONDRES, 95",16.02,5.0,20.0,2.0,8.0,3.0,12.0,General,Anual,28951178,82749856,41.3931453889122,2.1501358329136
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,9,la Nova Esquerra de l'Eixample,"C. VILADOMAT, 324",10.2,5.0,18.0,5.0,18.0,0.0,0.0,General,Anual,28427394,82397045,41.3899213125525,2.14391285007221
1/7/2026 0:00:00,Terrasses en Via Pública,8,Nou Barris,52,la Prosperitat,"C. JOAQUIM VALLS, 15-17",18.0,8.0,32.0,8.0,32.0,0.0,0.0,General,Anual,31775822,88172499,41.4422299058399,2.18330837108414
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,7,la Dreta de l'Eixample,"C. DIPUTACIO, 271",11.4,4.0,16.0,4.0,16.0,0.0,0.0,General,Anual,30406762,82491137,41.3909424647604,2.16757502768159
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,8,l'Antiga Esquerra de l'Eixample,"C. LONDRES, 89",1.2,1.0,2.0,1.0,2.0,0.0,0.0,General,Anual,28933318,82732254,41.3929852762411,2.14992428513102
1/7/2026 0:00:00,Terrasses en Via Pública,8,Nou Barris,52,la Prosperitat,"C. JOAQUIM VALLS, 15-17",4.5,2.0,8.0,2.0,8.0,0.0,0.0,General,Temporada,31775739,88172635,41.4422311236883,2.18330736225381
1/7/2026 0:00:00,Terrasses en Via Pública,9,Sant Andreu,59,el Bon Pastor,"PG. ENRIC SANCHIS, 33",13.5,6.0,24.0,6.0,24.0,0.0,0.0,General,Anual,33658735,87275443,41.4343082008781,2.20594455223626
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,9,la Nova Esquerra de l'Eixample,"C. COMTE D'URGELL, 59",14.85,6.0,24.0,6.0,24.0,0.0,0.0,General,Anual,29598857,81544491,41.382346038006,2.15802244367642
1/7/2026 0:00:00,Terrasses en Via Pública,10,Sant Martí,73,la Verneda i la Pau,"RBLA. PRIM, 224",4.5,2.0,8.0,2.0,8.0,0.0,0.0,General,Anual,33431290,86107378,41.4237689768975,2.20335108153016
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,6,la Sagrada Família,"C. SANT ANTONI MARIA CLARET, 226",2.96,2.0,4.0,2.0,4.0,0.0,0.0,General,Anual,31033993,84758134,41.4114145940625,2.17481850902579
1/7/2026 0:00:00,Terrasses en Via Pública,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,"C. AMIGO, 68",4.8,4.0,8.0,4.0,8.0,0.0,0.0,General,Anual,28313585,83183045,41.3969903734387,2.1424586769582
1/7/2026 0:00:00,Terrasses en Via Pública,4,Les Corts,20,la Maternitat i Sant Ramon,"C. COMANDANT BENITEZ, 8",9.0,4.0,16.0,4.0,16.0,0.0,0.0,General,Anual,27018309,81285113,41.3797799802398,2.12719443944315
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,7,la Dreta de l'Eixample,"C. PAU CLARIS, 189",15.0,5.0,20.0,5.0,20.0,0.0,0.0,General,Anual,29856730,83200198,41.3972809509727,2.16091448185462
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,8,l'Antiga Esquerra de l'Eixample,"C. VALENCIA, 207",8.55,3.0,12.0,3.0,12.0,0.0,0.0,General,Anual,29760111,82417833,41.3902260289428,2.15984954176522
